epochs,l-rate,decayRate,biasWeight,lotAreaWeight,YearBuiltWeight,GrLivAreaWeight,OverallQualWeight,OverallCondWeight,medianError,averageError,"largestError, MSError",
50,1.00E-05,1.00E-13,-46322.2654,42200.93134,83471.70506,197505.0178,193077.2466,1499.294591,18381.95732,26438.63661,339647.0938,803839060.2
50,1.00E-05,0,-46322.2654,42200.93134,83471.70506,197505.0178,193077.2466,1499.294591,18381.95732,26438.63661,339647.0938,803839060.2
100,1.00E-05,0,-46925.10051,42540.16015,83329.37406,198471.2062,193715.4531,1661.074015,18441.26488,26424.35649,338675.489,801279735.2
100,1.00E-05,1.00E-13,-46925.10051,42540.16015,83329.37406,198471.2062,193715.4531,1661.074015,18441.26488,26424.35649,338675.489,801279735.2
100,1.00E-05,1.00E-12,-46925.10051,42540.16015,83329.37406,198471.2062,193715.4531,1661.074015,18441.26488,26424.35649,338675.489,801279735.2
100,1.00E-05,1.00E-11,-46925.10051,42540.16015,83329.37406,198471.2062,193715.4531,1661.074015,18441.26488,26424.35649,338675.489,801279735.2
70,1.00E-05,0,-46560.0477,42336.97539,83417.93683,197894.2888,193336.4211,1566.120006,18448.5928,26434.6358,339244.369,802806559.7
70,1.00E-05,1.00E-13,-46560.0477,42336.97539,83417.93683,197894.2888,193336.4211,1566.120006,18448.5928,26434.6358,339244.369,802806559.7
70,1.00E-05,1.00E-12,-46560.0477,42336.97539,83417.93683,197894.2888,193336.4211,1566.120006,18448.5928,26434.6358,339244.369,802806559.7
70,1.00E-05,1.00E-11,-46560.0477,42336.97539,83417.93683,197894.2888,193336.4211,1566.120006,18448.5928,26434.6358,339244.369,802806559.7
40,0.0001,0,-50504.23343,44542.87282,82394.9616,203980.7803,197249.0025,2617.850692,18731.89229,26306.63274,333462.9981,787246125.7
40,0.0001,1.00E-13,-50504.23343,44542.87282,82394.9616,203980.7803,197249.0025,2617.850692,18731.89229,26306.63274,333462.9981,787246125.7
40,0.0001,1.00E-12,-50504.23343,44542.87282,82394.9616,203980.7803,197249.0025,2617.850692,18731.89229,26306.63274,333462.9981,787246125.7
40,0.0001,1.00E-11,-50504.23343,44542.87282,82394.9616,203980.7803,197249.0025,2617.850692,18731.89229,26306.63274,333462.9981,787246125.7
100,0.0001,0,-56898.80445,48410.34484,80631.73768,213770.4963,203240.0113,4744.019031,18744.79972,26149.02972,324319.1581,764910819.1
100,0.0001,1.00E-13,-56898.80445,48410.34484,80631.73768,213770.4963,203240.0113,4744.019031,18744.79972,26149.02972,324319.1581,764910819.1
100,0.0001,1.00E-12,-56898.80445,48410.34484,80631.73768,213770.4963,203240.0113,4744.019031,18744.79972,26149.02972,324319.1581,764910819.1
100,0.0001,1.00E-11,-56898.80445,48410.34484,80631.73768,213770.4963,203240.0113,4744.019029,18744.79972,26149.02972,324319.1581,764910819.1
50,0.0001,0,-51637.85985,45199.8245,82088.86882,205721.1308,198341.5853,2955.283234,18797.28789,26274.09957,331828.4923,783035364.5
50,0.0001,1.00E-13,-51637.85985,45199.8245,82088.86882,205721.1308,198341.5853,2955.283234,18797.28789,26274.09957,331828.4923,783035364.5
50,0.0001,1.00E-12,-51637.85985,45199.8245,82088.86882,205721.1308,198341.5853,2955.283234,18797.28789,26274.09957,331828.4923,783035364.5
50,0.0001,1.00E-11,-51637.85985,45199.82449,82088.86882,205721.1308,198341.5853,2955.283233,18797.28789,26274.09957,331828.4923,783035364.5
70,0.0001,0,-53820.76786,46498.60526,81490.02565,209067.5691,200409.9205,3653.006849,18851.03993,26216.23191,328696.3909,775233351.1
70,0.0001,1.00E-13,-53820.76786,46498.60526,81490.02565,209067.5691,200409.9205,3653.006849,18851.03993,26216.23191,328696.3909,775233351.1
70,0.0001,1.00E-12,-53820.76786,46498.60526,81490.02565,209067.5691,200409.9205,3653.006849,18851.03993,26216.23191,328696.3909,775233351.1
70,0.0001,1.00E-11,-53820.76786,46498.60526,81490.02565,209067.5691,200409.9205,3653.006849,18851.03993,26216.23191,328696.3909,775233351.1
