epochs,l-rate,decayRate,biasWeight,lotAreaWeight,YearBuiltWeight,GrLivAreaWeight,OverallQualWeight,OverallCondWeight,medianError,averageError,largestError,MSError
70,1e-09,1e-12,-45805.54925837874,41856.29286532393,83544.71092891562,196498.70095408824,192372.91163926193,1286.691847524292,18341.050394917518,26416.144992196892,340903.0882178912,806515931.1501157
70,1e-09,1e-11,-45805.54925835347,41856.292865302865,83544.71092891248,196498.70095403242,192372.9116392176,1286.6918475063853,18341.050394908874,26416.144992193127,340903.0882179799,806515931.1502749
100,0.0001,0,-56914.10337460157,48410.0449070476,80606.9407269975,213749.0883060318,203215.36506914947,4731.693577699759,18744.161844200833,26140.570531033372,324409.33798187855,764938018.6222856
100,0.0001,1e-13,-56914.10330215933,48410.04486116711,80606.94074761836,213749.08819627226,203215.36500436053,4731.693550845936,18744.16185915729,26140.57053251822,324409.33808263787,764938018.854822
100,0.0001,1e-12,-56914.10265028982,48410.044448300585,80606.94093315044,213749.0872086696,203215.3644213648,4731.693309193777,18744.161993733345,26140.57054587903,324409.33898927754,764938020.9472216
100,0.0001,1e-11,-56914.096131776176,48410.04031975258,80606.94278840466,213749.07733293722,203215.35859158044,4731.690892742124,18744.163339453982,26140.570679482935,324409.3480554038,764938041.8705972
100,1e-05,0,-46927.8176267232,42540.04443465757,83327.1630807223,198470.18962166316,193713.64823103976,1659.504932346699,18435.108552634047,26423.214075714903,338683.93458137236,801280282.4633974
100,1e-05,1e-13,-46927.817617771674,42540.044429741734,83327.16308296988,198470.18960774946,193713.64822196003,1659.5049300907856,18435.108554836217,26423.21407601384,338683.9345947646,801280282.5001658
100,1e-05,1e-12,-46927.81753716785,42540.04438548005,83327.16310321048,198470.18948241137,193713.648140213,1659.5049097710423,18435.10857466259,26423.214078704947,338683.9347153966,801280282.8313022
100,1e-05,1e-11,-46927.81673117739,42540.04394287904,83327.16330562059,198470.18822914973,193713.64732272425,1659.504706592418,18435.108772898355,26423.21410561234,338683.9359216504,801280286.1424781
100,1e-06,0,-45892.638300051905,41926.018733666875,83542.52580204257,196705.75574158828,192524.3724147742,1338.582091003999,18364.859023155484,26427.126475156103,340602.5656273882,805960007.4249582
